iter	RMSE
0	14.84753586
1	14.46582335
2	14.08261126
3	13.71087159
4	13.36490679
5	13.07819148
6	12.76809053
7	12.4923094
8	12.21647835
9	11.92263647
10	11.62828224
11	11.37940276
12	11.12779039
13	10.8811827
14	10.64484792
15	10.40171777
16	10.18062925
17	9.975607896
18	9.764708599
19	9.581674089
20	9.405782819
21	9.233801589
22	9.066297033
23	8.90094661
24	8.741930221
25	8.604433813
26	8.453450164
27	8.334808618
28	8.209797043
29	8.090104412
30	7.991162622
31	7.860398517
32	7.756224073
33	7.65416486
34	7.544323619
35	7.448745832
36	7.353347047
37	7.270322532
38	7.186004403
39	7.111061255
40	7.02728341
41	6.965841385
42	6.885770302
43	6.825386815
44	6.759360481
45	6.700037546
46	6.642213228
47	6.582549209
48	6.520800225
49	6.469648126
50	6.41360396
51	6.366981969
52	6.313316507
53	6.266344686
54	6.214735298
55	6.170886452
56	6.129508153
57	6.091714074
58	6.059540532
59	6.028733284
60	5.997782009
61	5.962569156
62	5.925254196
63	5.889482509
64	5.862921061
65	5.831470954
66	5.808276564
67	5.784169614
68	5.760137731
69	5.734547062
70	5.706207491
71	5.684884594
72	5.65998875
73	5.636245409
74	5.61796188
75	5.598791673
76	5.582441913
77	5.55762444
78	5.536506289
79	5.519219966
80	5.503487381
81	5.48890861
82	5.470940692
83	5.453264218
84	5.434642027
85	5.4173898
86	5.40537696
87	5.391052349
88	5.377641784
89	5.363286865
90	5.349314321
91	5.339656328
92	5.32359844
93	5.314830147
94	5.304026531
95	5.292833337
96	5.283128437
97	5.276993136
98	5.269383073
99	5.258704292
100	5.249674374
101	5.241079815
102	5.228231153
103	5.218930174
104	5.210712786
105	5.204325784
106	5.194290729
107	5.187062213
108	5.179048416
109	5.167952127
110	5.1574449
111	5.149668834
112	5.141924632
113	5.131134798
114	5.122762162
115	5.115800897
116	5.108813025
117	5.103484923
118	5.09732566
119	5.092777777
120	5.087483144
121	5.081935506
122	5.077568912
123	5.068965596
124	5.067971485
125	5.06194855
126	5.057773047
127	5.050727406
128	5.043828743
129	5.039907514
130	5.03370295
131	5.029337899
132	5.024061888
133	5.016342883
134	5.011256647
135	5.008137783
136	5.00339216
137	4.994241576
138	4.99325658
139	4.989762972
140	4.982412411
141	4.977953264
142	4.971522289
143	4.967467853
144	4.961047985
145	4.958057835
146	4.95423345
147	4.945002856
148	4.938951317
149	4.935866496
150	4.930747594
151	4.926462051
152	4.921569153
153	4.917288425
154	4.908154397
155	4.90614416
156	4.899911796
157	4.897393764
158	4.891564811
159	4.886604762
160	4.883098715
161	4.878312843
162	4.875987048
163	4.871872206
164	4.869771917
165	4.864422784
166	4.858036437
167	4.853928219
168	4.853532445
169	4.850611662
170	4.844667952
171	4.843138103
172	4.839491735
173	4.839063384
174	4.834720827
175	4.830679717
176	4.826110464
177	4.824502074
178	4.818990865
179	4.81383728
180	4.807692458
181	4.802073663
182	4.797366043
183	4.793046362
184	4.789630268
185	4.78391873
186	4.778325712
187	4.773803545
188	4.769242826
189	4.762648881
190	4.75777254
191	4.754536111
192	4.750953015
193	4.74777513
194	4.740630391
195	4.738042852
196	4.734218258
197	4.729806771
198	4.72869916
199	4.724839699
200	4.719123764
201	4.717584569
202	4.714483446
203	4.712447311
204	4.709011897
205	4.704790684
206	4.70344365
207	4.699305688
208	4.697229627
209	4.692639413
210	4.688766393
211	4.687016123
212	4.683600743
213	4.679534285
214	4.675433136
215	4.674525057
216	4.67031074
217	4.669538216
218	4.666679248
219	4.664462621
220	4.662128055
221	4.655548765
222	4.648830965
223	4.642910893
224	4.639687547
225	4.635452678
226	4.634110288
227	4.629612033
228	4.627946403
229	4.623968284
230	4.621046637
231	4.617922879
232	4.61666069
233	4.614339707
234	4.611734884
235	4.609515808
236	4.60498829
237	4.602059333
238	4.5992728
239	4.595930061
240	4.594340602
241	4.590782327
242	4.588010242
243	4.585871341
244	4.5816464
245	4.577736142
246	4.57534081
247	4.574422666
248	4.572217835
249	4.568313486
250	4.567287999
251	4.561136983
252	4.557831061
253	4.55245599
254	4.545475594
255	4.542243696
256	4.539463261
257	4.536344298
258	4.533408279
259	4.529903675
260	4.525425464
261	4.521314906
262	4.519023181
263	4.515737477
264	4.512952588
265	4.507910779
266	4.502016567
267	4.500720527
268	4.499022073
269	4.497970285
270	4.493560367
271	4.48994856
272	4.487911294
273	4.48261238
274	4.478966012
275	4.475691748
276	4.474020823
277	4.471304736
278	4.466790443
279	4.463571495
280	4.457008918
281	4.449254021
282	4.443525496
283	4.441654921
284	4.438847142
285	4.436809506
286	4.432701966
287	4.430390621
288	4.426954197
289	4.425005118
290	4.421902499
291	4.41991127
292	4.419262341
293	4.416305353
294	4.410978942
295	4.407298696
296	4.402548558
297	4.397667843
298	4.391570266
299	4.385119967
300	4.379200695
301	4.375377103
302	4.37030116
303	4.370044092
304	4.36836869
305	4.366430336
306	4.362973186
307	4.358295615
308	4.356004463
309	4.354066632
310	4.350035742
311	4.346630332
312	4.34282799
313	4.339112773
314	4.336076217
315	4.332865568
316	4.331850518
317	4.32867346
318	4.327011603
319	4.325928744
320	4.325213987
321	4.319374976
322	4.313782042
323	4.312880221
324	4.309417225
325	4.304064401
326	4.301960719
327	4.299530362
328	4.29908231
329	4.294663798
330	4.287657503
331	4.286614537
332	4.285487743
333	4.278767903
334	4.275705198
335	4.274055286
336	4.270694746
337	4.27041714
338	4.266651164
339	4.264771167
340	4.263084515
341	4.260184692
342	4.257268317
343	4.251719046
344	4.249939897
345	4.2483281
346	4.242477219
347	4.237429008
348	4.23377792
349	4.230691086
350	4.224824825
351	4.22028963
352	4.219523711
353	4.213184568
354	4.210656789
355	4.20697068
356	4.204761028
357	4.200533421
358	4.196290125
359	4.195150796
360	4.190077909
361	4.189383357
362	4.18597719
363	4.182029275
364	4.17742442
365	4.173782766
366	4.170046363
367	4.166406621
368	4.165926427
369	4.162887828
370	4.15909398
371	4.154630871
372	4.153643148
373	4.149338488
374	4.145093154
375	4.140439261
