iter	Passed	Remaining
0	150	150565
1	152	76161
2	154	51235
3	156	38899
4	158	31470
5	159	26491
6	161	22979
7	163	20264
8	164	18160
9	166	16470
10	167	15091
11	169	13970
12	171	12999
13	172	12160
14	174	11437
15	176	10834
16	178	10293
17	179	9788
18	180	9344
19	182	8955
20	184	8594
21	185	8263
22	187	7957
23	188	7675
24	190	7438
25	192	7210
26	193	6987
27	195	6788
28	197	6607
29	199	6437
30	200	6268
31	201	6109
32	203	5973
33	205	5852
34	207	5723
35	209	5607
36	211	5499
37	213	5404
38	215	5311
39	217	5221
40	219	5129
41	221	5046
42	222	4960
43	224	4879
44	226	4799
45	227	4725
46	229	4659
47	231	4594
48	233	4532
49	236	4485
50	237	4424
51	239	4366
52	241	4318
53	243	4271
54	245	4218
55	247	4170
56	249	4125
57	251	4084
58	253	4038
59	255	3997
60	257	3957
61	259	3918
62	260	3876
63	262	3835
64	264	3797
65	266	3765
66	267	3730
67	269	3691
68	271	3657
69	272	3624
70	274	3588
71	275	3553
72	277	3519
73	278	3488
74	280	3459
75	282	3429
76	283	3394
77	284	3360
78	285	3328
79	287	3300
80	288	3274
81	289	3244
82	291	3215
83	292	3191
84	294	3167
85	296	3147
86	297	3125
87	299	3101
88	300	3077
89	302	3056
90	303	3034
91	305	3011
92	306	2989
93	307	2967
94	309	2947
95	310	2927
96	312	2905
97	313	2884
98	314	2866
99	317	2856
100	319	2841
101	320	2825
102	322	2808
103	324	2794
104	325	2778
105	327	2761
106	328	2745
107	330	2728
108	333	2724
109	334	2708
110	336	2691
111	337	2675
112	347	2729
113	349	2718
114	351	2704
115	353	2690
116	355	2679
117	356	2667
118	358	2653
119	359	2636
120	361	2624
121	363	2615
122	364	2601
123	366	2588
124	367	2571
125	368	2558
126	370	2547
127	372	2535
128	373	2524
129	375	2510
130	376	2499
131	378	2490
132	380	2480
133	382	2470
134	384	2463
135	385	2451
136	387	2441
137	389	2430
138	391	2423
139	393	2414
140	394	2403
141	396	2393
142	397	2383
143	400	2381
144	402	2371
145	403	2361
146	405	2350
147	407	2344
148	408	2334
149	410	2323
150	411	2316
151	413	2305
152	415	2302
153	417	2292
154	418	2282
155	419	2269
156	421	2264
157	423	2255
158	424	2247
159	426	2238
160	427	2228
161	429	2221
162	432	2218
163	433	2211
164	437	2212
165	439	2209
166	441	2204
167	444	2199
168	445	2190
169	447	2186
170	449	2178
171	451	2173
172	454	2170
173	455	2161
174	457	2157
175	460	2155
176	462	2152
177	465	2148
178	467	2142
179	469	2137
180	471	2133
181	474	2131
182	475	2124
183	477	2118
184	479	2112
185	481	2109
186	484	2104
187	489	2113
188	501	2153
189	514	2192
190	517	2193
191	520	2191
192	526	2201
193	528	2196
194	533	2201
195	535	2196
196	542	2211
197	544	2206
198	547	2204
199	549	2199
200	552	2195
201	555	2192
202	558	2191
203	560	2188
204	563	2185
205	565	2180
206	569	2182
207	577	2199
